Time,RPM,MPH,Throttle,Load,Fuel Status
16:37:40.133566,765,0.0,1.17647058824,0200,NODATA
16:37:41.587871,756,0.0,1.17647058824,0200,NODATA
16:37:42.831596,759,0.0,1.17647058824,0200,NODATA
16:37:44.28802,752,0.0,1.17647058824,0200,NODATA
16:37:45.272748,757,0.0,1.17647058824,0200,NODATA
16:37:46.539326,761,0.0,1.17647058824,0200,NODATA
16:37:47.806268,762,0.0,1.17647058824,0200,NODATA
16:37:49.471678,755,0.0,1.17647058824,0200,NODATA
16:37:50.681824,758,0.0,1.17647058824,0200,NODATA
16:37:51.880529,751,0.0,1.17647058824,0200,NODATA
16:37:53.38369,759,0.0,1.17647058824,0200,NODATA
16:37:54.286299,751,0.0,1.17647058824,0200,NODATA
16:37:55.492578,767,0.0,1.17647058824,0200,NODATA
